deal_id,customer_id,deal_type,deal_date,amount_eur,owner
DEAL-000082,CUST-0042,churn,2025-09-13,-113.0,Gina Moore
DEAL-000083,CUST-0043,signup,2024-07-24,89.0,Abigail Shaffer
DEAL-000084,CUST-0043,churn,2025-09-09,-89.0,Gina Moore
DEAL-000085,CUST-0044,signup,2025-12-14,125.0,Gina Moore
DEAL-000086,CUST-0045,signup,2024-05-14,89.0,Connie Lawrence
DEAL-000087,CUST-0045,expansion,2024-12-07,40.0,Connie Lawrence
DEAL-000088,CUST-0045,expansion,2025-02-06,41.0,Abigail Shaffer
DEAL-000089,CUST-0046,signup,2024-03-19,89.0,Angie Henderson
DEAL-000090,CUST-0046,churn,2025-09-12,-89.0,Connie Lawrence
DEAL-000091,CUST-0047,signup,2025-07-07,89.0,Daniel Wagner
DEAL-000092,CUST-0047,expansion,2025-11-09,55.0,Gina Moore
DEAL-000093,CUST-0047,downgrade,2025-11-10,-25.0,Noah Rhodes
DEAL-000094,CUST-0048,signup,2024-02-10,89.0,Cristian Santos
DEAL-000095,CUST-0049,signup,2025-06-24,89.0,Angie Henderson
DEAL-000096,CUST-0049,expansion,2025-10-19,35.0,Noah Rhodes
DEAL-000097,CUST-0050,signup,2025-01-31,89.0,Abigail Shaffer
DEAL-000098,CUST-0050,expansion,2025-04-26,38.0,Daniel Wagner
DEAL-000099,CUST-0050,expansion,2025-10-14,59.0,Angie Henderson
DEAL-000100,CUST-0051,signup,2025-11-25,125.0,Connie Lawrence
DEAL-000101,CUST-0052,signup,2024-03-20,89.0,Angie Henderson
DEAL-000102,CUST-0052,expansion,2025-04-04,32.0,Gina Moore
DEAL-000103,CUST-0053,signup,2024-05-05,89.0,Gina Moore
DEAL-000104,CUST-0053,expansion,2025-12-13,49.0,Cristian Santos
DEAL-000105,CUST-0054,signup,2025-10-13,125.0,Gina Moore
DEAL-000106,CUST-0055,signup,2025-11-13,125.0,Allison Hill
DEAL-000107,CUST-0056,signup,2024-03-04,89.0,Noah Rhodes
DEAL-000108,CUST-0057,signup,2025-12-13,125.0,Abigail Shaffer
DEAL-000109,CUST-0058,signup,2025-08-27,125.0,Daniel Wagner
DEAL-000110,CUST-0058,expansion,2025-11-11,49.0,Daniel Wagner
DEAL-000111,CUST-0058,churn,29-11-2025,-174.0,Connie Lawrence
DEAL-000112,CUST-0059,signup,2024-06-10,89.0,Allison Hill
DEAL-000113,CUST-0060,signup,2025-08-18,125.0,Allison Hill
DEAL-000114,CUST-0061,signup,2025-10-28,125.0,Cristian Santos
DEAL-000115,CUST-0062,signup,2025-10-29,125.0,Gina Moore
DEAL-000116,CUST-0063,signup,2025-06-05,89.0,Cristian Santos
DEAL-000117,CUST-0063,expansion,09/11/2025,50.0,Allison Hill
DEAL-000118,CUST-0063,churn,2025-09-29,-139.0,Noah Rhodes
DEAL-000119,CUST-0064,signup,2025-11-18,125.0,Abigail Shaffer
DEAL-000120,CUST-0065,signup,2024-10-25,89.0,Connie Lawrence
DEAL-000121,CUST-0065,expansion,2025-03-02,36.0,Abigail Shaffer
DEAL-000122,CUST-0066,signup,2025-03-24,89.0,Connie Lawrence
DEAL-000123,CUST-0067,signup,2024-08-27,89.0,Daniel Wagner
DEAL-000124,CUST-0067,expansion,2024-11-18,45.0,Connie Lawrence
DEAL-000125,CUST-0067,expansion,2024-11-21,56.0,Cristian Santos
DEAL-000126,CUST-0068,signup,2025-12-16,125.0,Noah Rhodes
DEAL-000127,CUST-0069,signup,2025-02-21,89.0,Cristian Santos
DEAL-000128,CUST-0069,expansion,2025-06-10,52.0,Noah Rhodes
DEAL-000129,CUST-0069,expansion,2025-06-18,55.0,Angie Henderson
DEAL-000130,CUST-0069,churn,2025-08-22,-196.0,Noah Rhodes
DEAL-000131,CUST-0070,signup,2025-08-07,89.0,Abigail Shaffer
DEAL-000132,CUST-0070,churn,2025-09-24,-89.0,Connie Lawrence
DEAL-000133,CUST-0071,signup,2025-05-18,89.0,Connie Lawrence
DEAL-000134,CUST-0071,churn,2025-12-28,-89.0,Connie Lawrence
DEAL-000135,CUST-0072,signup,2025-08-31,125.0,Angie Henderson
DEAL-000136,CUST-0073,signup,2025-10-29,125.0,Daniel Wagner
DEAL-000137,CUST-0074,signup,2025-11-04,125.0,Abigail Shaffer
DEAL-000138,CUST-0075,signup,2024-02-10,89.0,Allison Hill
DEAL-000139,CUST-0075,expansion,2025-09-04,22.0,Allison Hill
DEAL-000140,CUST-0076,signup,2024-04-29,89.0,Angie Henderson
DEAL-000141,CUST-0077,signup,2025-11-11,125.0,Connie Lawrence
DEAL-000142,CUST-0078,signup,2024-10-22,89.0,Gina Moore
DEAL-000143,CUST-0078,expansion,2025-08-20,53.0,Angie Henderson
DEAL-000144,CUST-0079,signup,2024-10-09,89.0,Angie Henderson
DEAL-000145,CUST-0079,expansion,2025-10-14,52.0,Connie Lawrence
DEAL-000146,CUST-0080,signup,2025-12-15,125.0,Connie Lawrence
DEAL-000147,CUST-0081,signup,2024-08-04,89.0,Cristian Santos
DEAL-000148,CUST-0081,expansion,2024-12-25,45.0,Connie Lawrence
DEAL-000149,CUST-0082,signup,2024-11-01,89.0,Gina Moore
DEAL-000150,CUST-0083,signup,18-04-2024,89.0,Allison Hill
DEAL-000151,CUST-0083,expansion,2025-04-19,50.0,Connie Lawrence
DEAL-000152,CUST-0084,signup,2025-03-18,89.0,Cristian Santos
DEAL-000153,CUST-0084,expansion,2025-08-09,27.0,Allison Hill
DEAL-000154,CUST-0084,expansion,2025-08-31,57.0,Gina Moore
DEAL-000155,CUST-0085,signup,2025-10-30,125.0,Cristian Santos
DEAL-000156,CUST-0085,churn,2025-12-29,-125.0,Daniel Wagner
DEAL-000157,CUST-0086,signup,2025-09-21,125.0,Gina Moore
DEAL-000158,CUST-0086,expansion,2025-12-01,23.0,Angie Henderson
DEAL-000159,CUST-0086,churn,2025-12-17,-148.0,Abigail Shaffer
DEAL-000160,CUST-0087,signup,2025-08-16 00:00:00,125.0,Allison Hill
DEAL-000161,CUST-0087,expansion,2025-10-24,35.0,Noah Rhodes
DEAL-000162,CUST-0088,signup,2025-08-15,125.0,Daniel Wagner
DEAL-000163,CUST-0089,signup,2024-04-22,89.0,Allison Hill
DEAL-000164,CUST-0089,churn,2025-09-11,-89.0,Gina Moore
DEAL-000165,CUST-0090,signup,2024-08-02,89.0,Angie Henderson
DEAL-000166,CUST-0090,expansion,2025-03-10,46.0,Abigail Shaffer
DEAL-000167,CUST-0091,signup,2024-05-15,89.0,Daniel Wagner
DEAL-000168,CUST-0092,signup,2025-05-16,89.0,Abigail Shaffer
DEAL-000169,CUST-0093,signup,2024-02-02,89.0,Gina Moore
DEAL-000170,CUST-0093,expansion,2025-08-28,59.0,Allison Hill
DEAL-000171,CUST-0094,signup,2024-04-11,89.0,Daniel Wagner
DEAL-000172,CUST-0094,expansion,2025-06-06,28.0,Connie Lawrence
DEAL-000173,CUST-0094,churn,2025-09-06,-117.0,Gina Moore
DEAL-000174,CUST-0095,signup,2024-02-27,89.0,Abigail Shaffer
DEAL-000175,CUST-0095,churn,2025-09-29,-89.0,Connie Lawrence
DEAL-000176,CUST-0096,signup,2025-07-15,89.0,Angie Henderson
DEAL-000177,CUST-0096,churn,2025-08-27,-89.0,Gina Moore
DEAL-000178,CUST-0097,signup,2025-01-15,89.0,Connie Lawrence
DEAL-000179,CUST-0097,expansion,2025-04-19,41.0,Cristian Santos
DEAL-000180,CUST-0097,churn,2025-05-12,-130.0,Gina Moore
DEAL-000181,CUST-0098,signup,12/23/2024,89.0,Daniel Wagner
DEAL-000182,CUST-0098,churn,2025-09-18,-89.0,Daniel Wagner
DEAL-000183,CUST-0099,signup,2025-02-10,89.0,Cristian Santos
DEAL-000184,CUST-0100,signup,2025-09-04,125.0,Daniel Wagner
DEAL-000185,CUST-0100,expansion,2025-12-08,39.0,Cristian Santos
DEAL-000186,CUST-0101,signup,2025-10-05,125.0,Cristian Santos
DEAL-000187,CUST-0101,churn,2025-12-13,-125.0,Daniel Wagner
DEAL-000188,CUST-0102,signup,2025-11-25,125.0,Gina Moore
DEAL-000189,CUST-0103,signup,2025-09-25,125.0,Connie Lawrence
DEAL-000190,CUST-0104,signup,2024-07-21,89.0,Cristian Santos
DEAL-000191,CUST-0104,expansion,2025-05-22,42.0,Cristian Santos
DEAL-000192,CUST-0105,signup,08/09/2025,89.0,Noah Rhodes
DEAL-000193,CUST-0105,churn,2025-09-24,-89.0,Abigail Shaffer
DEAL-000194,CUST-0106,signup,2025-02-09,89.0,Connie Lawrence
DEAL-000195,CUST-0106,expansion,2025-11-25,45.0,Angie Henderson
DEAL-000196,CUST-0107,signup,2025-10-04,125.0,Cristian Santos
DEAL-000197,CUST-0108,signup,2024-07-14,89.0,Allison Hill
DEAL-000198,CUST-0109,signup,2024-01-13,89.0,Connie Lawrence
DEAL-000199,CUST-0109,expansion,01-01-2025,25.0,Gina Moore
DEAL-000200,CUST-0110,signup,2024-08-17,89.0,Cristian Santos
DEAL-000201,CUST-0111,signup,11/04/2024,89.0,Cristian Santos
DEAL-000202,CUST-0111,expansion,2025-02-26,32.0,Cristian Santos
DEAL-000203,CUST-0111,expansion,2025-07-13,50.0,Angie Henderson
DEAL-000204,CUST-0111,churn,2025-09-14,-171.0,Noah Rhodes
DEAL-000205,CUST-0112,signup,2025-03-21,89.0,Daniel Wagner
DEAL-000206,CUST-0113,signup,2025-06-13,89.0,Daniel Wagner
DEAL-000207,CUST-0113,expansion,2025-09-12,23.0,Daniel Wagner
DEAL-000208,CUST-0113,expansion,2025-11-05,53.0,Allison Hill
DEAL-000209,CUST-0114,signup,2025-04-23,89.0,Noah Rhodes
DEAL-000210,CUST-0115,signup,2024-04-20,89.0,Abigail Shaffer
DEAL-000211,CUST-0115,churn,2025-09-04,-89.0,Connie Lawrence
DEAL-000212,CUST-0116,signup,2025-09-12,125.0,Angie Henderson
DEAL-000213,CUST-0116,expansion,2025-12-11,26.0,Allison Hill
DEAL-000214,CUST-0117,signup,2024-10-06,89.0,Angie Henderson
DEAL-000215,CUST-0118,signup,2025-05-21,89.0,Abigail Shaffer
DEAL-000216,CUST-0119,signup,2024-11-23,89.0,Daniel Wagner
DEAL-000217,CUST-0119,expansion,2025-09-22,50.0,Cristian Santos
DEAL-000218,CUST-0120,signup,2025-01-03,89.0,Connie Lawrence
DEAL-000219,CUST-0121,signup,2025-01-19,89.0,Allison Hill
DEAL-000220,CUST-0121,downgrade,2025-07-31,-35.0,Noah Rhodes
DEAL-000221,CUST-0122,signup,2025-11-16,125.0,Daniel Wagner
DEAL-000222,CUST-0123,signup,2024-04-18,89.0,Allison Hill
DEAL-000223,CUST-0124,signup,2024-03-22,89.0,Abigail Shaffer
DEAL-000224,CUST-0124,expansion,2024-11-16,46.0,Gina Moore
DEAL-000225,CUST-0124,expansion,2024-11-17,22.0,Angie Henderson
DEAL-000226,CUST-0125,signup,2024-02-14,89.0,Allison Hill
DEAL-000227,CUST-0125,expansion,2025-02-04,22.0,Cristian Santos
DEAL-000228,CUST-0126,signup,2024-04-17,89.0,Cristian Santos
DEAL-000229,CUST-0126,expansion,2024-10-03,41.0,Gina Moore
DEAL-000230,CUST-0127,signup,05/18/2024,89.0,Gina Moore
DEAL-000231,CUST-0128,signup,2025-05-05,89.0,Gina Moore
DEAL-000232,CUST-0128,expansion,2025-08-07,52.0,Cristian Santos
DEAL-000233,CUST-0129,signup,2025-05-19,89.0,Daniel Wagner
DEAL-000234,CUST-0130,signup,2025-01-06 00:00:00,89.0,Cristian Santos
DEAL-000235,CUST-0130,expansion,2025-05-03,41.0,Angie Henderson
DEAL-000236,CUST-0130,expansion,2025-05-29,49.0,Allison Hill
DEAL-000237,CUST-0131,signup,2024-08-24,89.0,Daniel Wagner
DEAL-000238,CUST-0131,expansion,2025-11-04,41.0,Angie Henderson
DEAL-000239,CUST-0131,expansion,2025-12-01,38.0,Abigail Shaffer
DEAL-000240,CUST-0132,signup,2025-08-13,89.0,Abigail Shaffer
DEAL-000241,CUST-0132,churn,2025-09-06,-89.0,Connie Lawrence
DEAL-000242,CUST-0133,signup,2025-06-10,89.0,Noah Rhodes
DEAL-000243,CUST-0133,churn,2025-08-23,-89.0,Abigail Shaffer
DEAL-000244,CUST-0134,signup,2024-01-24,89.0,Noah Rhodes
DEAL-000245,CUST-0134,churn,2025-09-30,-89.0,Angie Henderson
DEAL-000246,CUST-0135,signup,2025-08-22,125.0,Connie Lawrence
DEAL-000247,CUST-0135,expansion,2025-10-29,50.0,Daniel Wagner
DEAL-000248,CUST-0136,signup,2025-09-01,125.0,Abigail Shaffer
DEAL-000249,CUST-0136,expansion,2025-10-31,36.0,Daniel Wagner
DEAL-000250,CUST-0137,signup,2024-03-24,89.0,Connie Lawrence
DEAL-000251,CUST-0137,expansion,2025-08-23,37.0,Cristian Santos
DEAL-000252,CUST-0138,signup,2025-05-26,89.0,Allison Hill
DEAL-000253,CUST-0138,expansion,07-10-2025,56.0,Cristian Santos
DEAL-000254,CUST-0138,churn,2025-12-13,-145.0,Connie Lawrence
DEAL-000255,CUST-0139,signup,2025-05-31,89.0,Daniel Wagner
DEAL-000256,CUST-0139,churn,2025-09-02,-89.0,Allison Hill
DEAL-000257,CUST-0140,signup,2025-09-29,125.0,Noah Rhodes
DEAL-000258,CUST-0141,signup,2025-06-14,89.0,Cristian Santos
DEAL-000259,CUST-0141,expansion,2025-09-02,45.0,Noah Rhodes
DEAL-000260,CUST-0141,expansion,2025-10-11,39.0,Cristian Santos
DEAL-000261,CUST-0142,signup,2025-01-05,89.0,Daniel Wagner
DEAL-000262,CUST-0142,expansion,2025-09-10,59.0,Daniel Wagner
DEAL-000263,CUST-0143,signup,2024-06-21,89.0,Angie Henderson
DEAL-000264,CUST-0144,signup,2024-04-08,89.0,Connie Lawrence
DEAL-000265,CUST-0144,downgrade,2025-03-26 00:00:00,-38.0,Abigail Shaffer
DEAL-000266,CUST-0144,expansion,2025-10-09,29.0,Gina Moore
DEAL-000267,CUST-0145,signup,2025-12-10,125.0,Daniel Wagner
DEAL-000268,CUST-0146,signup,2025-07-28,89.0,Noah Rhodes
DEAL-000269,CUST-0146,expansion,2025-10-27,58.0,Gina Moore
DEAL-000270,CUST-0147,signup,2024-06-25,89.0,Noah Rhodes
DEAL-000271,CUST-0147,expansion,2025-05-21,43.0,Noah Rhodes
DEAL-000272,CUST-0147,churn,25-09-2025,-132.0,Allison Hill
DEAL-000273,CUST-0148,signup,2024-05-17,89.0,Connie Lawrence
DEAL-000274,CUST-0148,expansion,16-12-2024,30.0,Gina Moore
DEAL-000275,CUST-0148,expansion,2025-12-15,32.0,Noah Rhodes
DEAL-000276,CUST-0149,signup,2024-03-12,89.0,Gina Moore
DEAL-000277,CUST-0149,expansion,2024-12-07,57.0,Noah Rhodes
DEAL-000278,CUST-0150,signup,2025-01-18,89.0,Gina Moore
DEAL-000279,CUST-0151,signup,2025-06-03,89.0,Allison Hill
DEAL-000280,CUST-0152,signup,2024-11-07,89.0,Gina Moore
DEAL-000281,CUST-0153,signup,2025-06-26,89.0,Abigail Shaffer
DEAL-000282,CUST-0153,expansion,2025-09-10,52.0,Gina Moore
DEAL-000283,CUST-0154,signup,2025-02-15,89.0,Allison Hill
DEAL-000284,CUST-0154,churn,2025-05-18,-89.0,Gina Moore
DEAL-000285,CUST-0155,signup,2025-01-21,89.0,Cristian Santos
DEAL-000286,CUST-0156,signup,2025-06-05,89.0,Allison Hill
DEAL-000287,CUST-0157,signup,2025-10-26,125.0,Abigail Shaffer
DEAL-000288,CUST-0158,signup,2024-02-22,89.0,Daniel Wagner
DEAL-000289,CUST-0158,expansion,2024-08-30,20.0,Noah Rhodes
DEAL-000290,CUST-0158,churn,09/27/2025,-109.0,Allison Hill
DEAL-000291,CUST-0159,signup,2025-02-20,89.0,Noah Rhodes
DEAL-000292,CUST-0159,expansion,2025-06-14,42.0,Allison Hill
DEAL-000293,CUST-0159,churn,2025-08-25,-131.0,Noah Rhodes
DEAL-000294,CUST-0160,signup,2024-04-22,89.0,Cristian Santos
DEAL-000295,CUST-0160,expansion,2025-10-17,22.0,Abigail Shaffer
DEAL-000296,CUST-0161,signup,2025-12-26 00:00:00,125.0,Angie Henderson
DEAL-000297,CUST-0162,signup,2025-11-25,125.0,Angie Henderson
DEAL-000298,CUST-0163,signup,2025-10-01,125.0,Abigail Shaffer
DEAL-000299,CUST-0163,expansion,2025-12-13,43.0,Gina Moore
DEAL-000300,CUST-0164,signup,2024-11-17,89.0,Noah Rhodes
DEAL-000301,CUST-0164,expansion,2025-04-22,44.0,Angie Henderson
DEAL-000302,CUST-0164,churn,2025-07-30,-133.0,Connie Lawrence
DEAL-000303,CUST-0165,signup,2025-10-22,125.0,Noah Rhodes
DEAL-000304,CUST-0166,signup,2024-05-15,89.0,Abigail Shaffer
DEAL-000305,CUST-0166,expansion,2025-01-12,54.0,Angie Henderson
DEAL-000306,CUST-0167,signup,2024-05-05,89.0,Daniel Wagner
DEAL-000307,CUST-0168,signup,02-07-2025,89.0,Allison Hill
DEAL-000308,CUST-0169,signup,2024-07-04,89.0,Gina Moore
DEAL-000309,CUST-0169,expansion,09/13/2024,39.0,Abigail Shaffer
DEAL-000310,CUST-0169,churn,2025-08-30,-128.0,Abigail Shaffer
DEAL-000311,CUST-0170,signup,2024-11-12,89.0,Daniel Wagner
DEAL-000312,CUST-0171,signup,2025-11-05 00:00:00,125.0,Daniel Wagner
DEAL-000313,CUST-0172,signup,2025-03-09,89.0,Gina Moore
DEAL-000314,CUST-0173,signup,2024-08-23 00:00:00,89.0,Connie Lawrence
DEAL-000315,CUST-0173,churn,2025-08-29,-89.0,Angie Henderson
DEAL-000316,CUST-0174,signup,17-01-2024,89.0,Cristian Santos
DEAL-000317,CUST-0175,signup,2024-02-06,89.0,Allison Hill
DEAL-000318,CUST-0175,expansion,2024-10-16,27.0,Abigail Shaffer
DEAL-000319,CUST-0176,signup,2024-05-22,89.0,Allison Hill
DEAL-000320,CUST-0177,signup,2024-04-29,89.0,Noah Rhodes
DEAL-000321,CUST-0177,expansion,2025-03-01,33.0,Noah Rhodes
DEAL-000322,CUST-0178,signup,2025-11-29,125.0,Allison Hill
DEAL-000323,CUST-0179,signup,2025-05-19,89.0,Gina Moore
DEAL-000324,CUST-0180,signup,2025-04-27,89.0,Abigail Shaffer
DEAL-000325,CUST-0180,expansion,2025-08-27,22.0,Gina Moore
DEAL-000326,CUST-0180,expansion,2025-11-26,23.0,Daniel Wagner
DEAL-000327,CUST-0181,signup,2024-09-17,89.0,Daniel Wagner
DEAL-000328,CUST-0182,signup,2025-05-10,89.0,Allison Hill
DEAL-000329,CUST-0183,signup,2024-03-22,89.0,Cristian Santos
DEAL-000330,CUST-0183,expansion,2024-10-11,52.0,Daniel Wagner
DEAL-000331,CUST-0184,signup,2025-03-28,89.0,Connie Lawrence
DEAL-000332,CUST-0185,signup,2024-02-22,89.0,Connie Lawrence
DEAL-000333,CUST-0186,signup,2025-10-27,125.0,Daniel Wagner
DEAL-000334,CUST-0187,signup,05/28/2024,89.0,Daniel Wagner
DEAL-000335,CUST-0187,expansion,2024-12-28,29.0,Abigail Shaffer
DEAL-000336,CUST-0187,churn,2025-09-29,-118.0,Cristian Santos
DEAL-000337,CUST-0188,signup,2025-01-22,89.0,Cristian Santos
DEAL-000338,CUST-0189,signup,2025-05-22,89.0,Allison Hill
DEAL-000339,CUST-0190,signup,05-08-2025,89.0,Angie Henderson
DEAL-000340,CUST-0191,signup,2025-06-11,89.0,Abigail Shaffer
DEAL-000341,CUST-0192,signup,2025-02-02,89.0,Connie Lawrence
DEAL-000342,CUST-0192,expansion,2025-12-12,23.0,Abigail Shaffer
DEAL-000343,CUST-0193,signup,2025-01-30,89.0,Connie Lawrence
DEAL-000344,CUST-0194,signup,2025-12-30,125.0,Abigail Shaffer
DEAL-000345,CUST-0195,signup,2024-09-30,89.0,Abigail Shaffer
DEAL-000346,CUST-0196,signup,2025-08-27,125.0,Gina Moore
DEAL-000347,CUST-0196,expansion,2025-11-04,39.0,Daniel Wagner
DEAL-000348,CUST-0196,expansion,2025-11-19,31.0,Daniel Wagner
DEAL-000349,CUST-0197,signup,2025-07-16,89.0,Cristian Santos
DEAL-000350,CUST-0197,churn,2025-09-05,-89.0,Angie Henderson
DEAL-000351,CUST-0198,signup,2025-11-11 00:00:00,125.0,Gina Moore
DEAL-000352,CUST-0199,signup,2025-01-01,89.0,Abigail Shaffer
DEAL-000353,CUST-0199,expansion,2025-03-31,55.0,Abigail Shaffer
DEAL-000354,CUST-0200,signup,2024-12-16,89.0,Angie Henderson
DEAL-000355,CUST-0200,churn,2025-08-22,-89.0,Abigail Shaffer
DEAL-000356,CUST-0201,signup,2025-03-06,89.0,Daniel Wagner
DEAL-000357,CUST-0201,expansion,2025-06-05,36.0,Connie Lawrence
DEAL-000358,CUST-0201,churn,08/25/2025,-125.0,Noah Rhodes
DEAL-000359,CUST-0202,signup,2024-01-23,89.0,Daniel Wagner
DEAL-000360,CUST-0202,expansion,2024-06-25,54.0,Allison Hill
DEAL-000361,CUST-0202,expansion,2025-06-26,43.0,Cristian Santos
DEAL-000362,CUST-0203,signup,2024-04-26,89.0,Allison Hill
DEAL-000363,CUST-0203,expansion,2025-07-16,58.0,Noah Rhodes
DEAL-000364,CUST-0204,signup,29-10-2024,89.0,Daniel Wagner
DEAL-000365,CUST-0204,churn,2025-09-12,-89.0,Daniel Wagner
DEAL-000366,CUST-0205,signup,2025-08-28,125.0,Connie Lawrence
DEAL-000367,CUST-0205,expansion,2025-11-26,33.0,Cristian Santos
